,Sequencen,True next word,Predicted word,Predictions,Correct
1,the railway the progress of physical science reacted upon metallurgy,improved,improved,[0.02445433],True
4,and conservative learning lacking initiative and resistent to innovation unless,it,it,[0.43534374],True
6,of clyde canal and american named fulton had steamer the,clermont,clermont,[0.01624142],True
7,advantage and he averaged under miles hour ordinary traveller could,not,not,[0.50262505],True
8,napoleon coronation portrait of napoleon coronation from print the british,museum,museum,[0.9337779],True
12,people without what the english call the “ private gentleman,”,”,[0.93046755],True
13,the record of the rocks early rolling stock on the,liverpool,liverpool,[0.09840178],True
14,russia took joint action the turkish fleet destroyed by the,french,french,[0.06502069],True
18,kingdom of the netherlands the powers terrified at the possibilities,of,of,[0.9226382],True
21,there steamboat the charlotte dundas on the firth of clyde,canal,canal,[0.1670767],True
23,dream of bacon ’ s new atlantis throughout the eighteenth,century,century,[0.9406229],True
28,charlotte dundas on the firth of clyde canal and american,named,named,[0.09735154],True
29,speed of forty four miles per hour from onward railways,multiplied,multiplied,[0.10539939],True
30,all over europe early travelling on the liverpool and manchester,railway,railway,[0.7267194],True
35,dundas on the firth of clyde canal and american named,fulton,fulton,[0.99931204],True
36,say they reduced the chief european distances to about tenth,of,of,[0.28949702],True
37,days of the railway early rolling stock on the liverpool,and,and,[0.86825883],True
38,life nor it affecting popular thought very profoundly during this,period,period,[0.38735306],True
39,microscope and telescope renewed energy classificatory natural history great revival,of,of,[0.82941395],True
41,apt to be timid and conservative learning lacking initiative and,resistent,resistent,[0.7982116],True
45,liverpool and manchester railway early travelling on the liverpool and,manchester,manchester,[0.75375843],True
47,the possibility of larger and bolder handling of masses of,metal,metal,[0.12106449],True
49,named fulton had steamer the clermont with british built engines,upon,upon,[0.27672794],True
51,have done this distance twice the time these were about,the,the,[0.14368847],True
53,of material knowledge throughout the seventeenth and eighteenth centuries and,the,the,[0.4610601],True
59,westphalia changing kaleidoscopically into the patchwork of the treaty of,vienna,vienna,[0.40478098],True
62,early rolling stock on the liverpool and manchester railway the,first,first,[0.5698845],True
63,record of the rocks early rolling stock on the liverpool,and,and,[0.83157206],True
66,new scale and new abundance appeared to revolutionize industry trevithick,adapted,adapted,[0.6814157],True
