,Sequencen,True next word,Predicted word,Predictions,Correct
0,turkey by the treaty of adrianople greece declared free but,she,the,[0.02539236],False
1,the railway the progress of physical science reacted upon metallurgy,improved,improved,[0.02445433],True
2,trevithick adapted the watt engine to transport and made the,first,same,[0.2270921],False
3,declared free but she not permitted to resume her ancient,republican,mother,[0.03480485],False
4,and conservative learning lacking initiative and resistent to innovation unless,it,it,[0.43534374],True
5,declared that wherever the german tongue spoken there the german,fatherland,monarch,[0.06025792],False
6,of clyde canal and american named fulton had steamer the,clermont,clermont,[0.01624142],True
7,advantage and he averaged under miles hour ordinary traveller could,not,not,[0.50262505],True
8,napoleon coronation portrait of napoleon coronation from print the british,museum,museum,[0.9337779],True
9,immediate results political life nor it affecting popular thought very,profoundly,much,[0.19561963],False
10,of adrianople greece declared free but she not permitted to,resume,be,[0.03678951],False
11,not have done this distance twice the time these were,about,the,[0.02455756],False
12,people without what the english call the “ private gentleman,”,”,[0.93046755],True
13,the record of the rocks early rolling stock on the,liverpool,liverpool,[0.09840178],True
14,russia took joint action the turkish fleet destroyed by the,french,french,[0.06502069],True
15,possibility of continuous access to washington however far the frontier,travelled,of,[0.09096977],False
16,seventeenth and eighteenth centuries no striking immediate results political life,nor,the,[0.10935626],False
17,patchwork of the treaty of westphalia changing kaleidoscopically into the,patchwork,british,[0.09897346],False
18,kingdom of the netherlands the powers terrified at the possibilities,of,of,[0.9226382],True
19,lived progress the european and europeanized world it went on,disconnected,the,[0.09227324],False
20,half of the nineteenth century it process that went on,chiefly,to,[0.11458942],False
21,there steamboat the charlotte dundas on the firth of clyde,canal,canal,[0.1670767],True
22,governments of europe looked on liberal opinion protested against this,inactivity,new,[0.03343707],False
23,dream of bacon ’ s new atlantis throughout the eighteenth,century,century,[0.9406229],True
24,every european country joined the insurgents and at last britain,france,and,[0.30971667],False
25,to about tenth of what they had been they made,it,the,[0.13613763],False
26,miles hour ordinary traveller could not have done this distance,twice,the,[0.03262784],False
27,after the russian disaster napoleon travelled from near vilna to,paris,the,[0.04525688],False
28,charlotte dundas on the firth of clyde canal and american,named,named,[0.09735154],True
29,speed of forty four miles per hour from onward railways,multiplied,multiplied,[0.10539939],True
30,all over europe early travelling on the liverpool and manchester,railway,railway,[0.7267194],True
31,it has the spur of contact with independent minds we,have,shall,[0.24252217],False
32,to run however before the turk altogether expelled from these,lands,invaders,[0.01464712],False
33,the german tongue spoken there the german fatherland portrait of,napoleon,the,[0.11878983],False
34,for year against nicholas who succeeded alexander and then stamped,out,his,[0.11614911],False
35,dundas on the firth of clyde canal and american named,fulton,fulton,[0.99931204],True
36,say they reduced the chief european distances to about tenth,of,of,[0.28949702],True
37,days of the railway early rolling stock on the liverpool,and,and,[0.86825883],True
38,life nor it affecting popular thought very profoundly during this,period,period,[0.38735306],True
39,microscope and telescope renewed energy classificatory natural history great revival,of,of,[0.82941395],True
40,science reacted upon metallurgy improved metallurgy affording the possibility of,larger,mind,[0.02222534],False
41,apt to be timid and conservative learning lacking initiative and,resistent,resistent,[0.7982116],True
42,the philosophical and scientific thought of this period endowed learning,is,as,[0.05540951],False
43,king found for greece one prince otto of bavaria and,christian,the,[0.04731767],False
44,the seventeenth and eighteenth centuries no striking immediate results political,life,and,[0.16076888],False
45,liverpool and manchester railway early travelling on the liverpool and,manchester,manchester,[0.75375843],True
46,greece declared free but she not permitted to resume her,ancient,to,[0.05324356],False
47,the possibility of larger and bolder handling of masses of,metal,metal,[0.12106449],True
48,the phœnix which went from new york hoboken to philadelphia,too,the,[0.148689],False
49,named fulton had steamer the clermont with british built engines,upon,upon,[0.27672794],True
50,speech is it any wonder that one of the most,popular,part,[0.1547436],False
51,have done this distance twice the time these were about,the,the,[0.14368847],True
52,not permitted to resume her ancient republican traditions german king,found,who,[0.05517931],False
53,of material knowledge throughout the seventeenth and eighteenth centuries and,the,the,[0.4610601],True
54,years they fought desperate while the governments of europe looked,on,at,[0.24395207],False
55,travelling with every conceivable advantage and he averaged under miles,hour,of,[0.1257216],False
56,administrative work areas ten times as great as any that,had,of,[0.29268914],False
57,for six years they fought desperate while the governments of,europe,the,[0.16680071],False
58,darlington opened and stephenson ’ s “ rocket ” with,thirteen,adorable,[0.04719785],False
59,westphalia changing kaleidoscopically into the patchwork of the treaty of,vienna,vienna,[0.40478098],True
60,good between rome and gaul the first century then suddenly,came,the,[0.27877733],False
61,years of the nineteenth century while these conflicts of the,powers,world,[0.11212093],False
62,early rolling stock on the liverpool and manchester railway the,first,first,[0.5698845],True
63,record of the rocks early rolling stock on the liverpool,and,and,[0.83157206],True
64,and american named fulton had steamer the clermont with british,built,german,[0.11345802],False
65,sprawling westward it meant the possibility of continuous access to,washington,trade,[0.01859523],False
66,new scale and new abundance appeared to revolutionize industry trevithick,adapted,adapted,[0.6814157],True
67,state religion map europe after the congress of vienna there,insurrection,insurrection,[0.09266494],True
68,of masses of metal and other materials reacted upon practical,inventions,form,[0.07519817],False
69,europe still remains to be realized europe is still netted,boundaries,the,[0.08515143],False
70,ship spreading european influence throughout the world steady growth of,knowledge,the,[0.04791846],False
71,every conceivable advantage and he averaged under miles hour ordinary,traveller,thing,[0.08126832],False
72,immediate to the united states of america sprawling westward it,meant,is,[0.11369246],False
73,out of existence with great violence and cruelty the polish,language,language,[0.24850516],True
74,and manchester railway the first days of the railway the,progress,first,[0.04286424],False
75,permitted to resume her ancient republican traditions german king found,for,the,[0.3158325],False
76,gentleman ” the scientific process could not have begun greece,and,and,[0.22391093],True
77,upon metallurgy improved metallurgy affording the possibility of larger and,bolder,bolder,[0.09337907],True
78,the netherlands the powers terrified at the possibilities of republic,or,and,[0.1941506],False
